0.08	1.47
0.21	1.28
0.36	1.16
0.62	0.94
0.63	0.96
0.70	0.84
0.86	0.66
1.04	0.51
1.21	0.38
1.36	0.28
1.57	0.19
1.71	0.14
1.85	0.11
1.97	0.11
2.08	0.14
2.17	0.17
2.22	0.21
2.25	0.26
2.27	0.31
2.27	0.37
2.27	0.42
2.25	0.55
2.20	0.69
2.11	0.85
2.00	1.00
1.88	1.12
1.79	1.19
1.67	1.32
1.50	1.45
1.34	1.55
1.22	1.62
1.12	1.65
0.97	1.67
0.87	1.66
0.77	1.63
0.68	1.57
0.57	1.48
1.825	1.323	0.857	5.780	2.256	1.030	34.588	2.484
